rownames,UP0055_CTRL,UH16_300,UH18_22546,UP0055_HHE1.combined,UP0055_HHE2.combined
1:116500001-117000000,0.9745957198211308,1.670071653733882,1.176471941253633,1.0373121466416957,1.110739857075121
1:117000001-117500000,1.0309105350020789,1.5061539893195919,1.1306982422035312,1.094570793900083,1.1244465331083335
1:117500001-118000000,1.021182666689399,1.5373095330508793,1.1929422629623103,1.0617603674036313,1.0907003411866503
1:118000001-118500000,0.9979703248567106,1.2328717112096044,1.009136869915237,0.9495132056779312,0.9643310481167231
1:118500001-119000000,0.9963022268446028,1.183342744452602,0.9838790701061656,0.9202065713982741,0.9888957124654255
1:119000001-119500000,0.9992158635053571,1.2350743003908915,1.0001750354100214,0.9928499068116436,0.9758509269837555
1:119500001-120000000,0.978319372100499,1.157973414505857,0.9620238905831491,0.9418104168496548,1.0042527318087675
1:120000001-120500000,1.0477626217577944,1.1441403595928235,0.9634043366859467,0.9865962229474877,1.0209467079306849
1:120500001-121000000,,,,,
1:121000001-121500000,,,,,
1:121500001-122000000,,,,,
1:122000001-122500000,,,,,
1:122500001-123000000,,,,,
1:123000001-123500000,,,,,
1:123500001-124000000,,,,,
1:124000001-124500000,,,,,
1:124500001-125000000,,,,,
1:125000001-125500000,,,,,
1:125500001-126000000,,,,,
1:126000001-126500000,,,,,
1:126500001-127000000,,,,,
1:127000001-127500000,,,,,
1:127500001-128000000,,,,,
1:128000001-128500000,,,,,
1:128500001-129000000,,,,,
1:129000001-129500000,,,,,
1:129500001-130000000,,,,,
1:130000001-130500000,,,,,
1:130500001-131000000,,,,,
1:131000001-131500000,,,,,
1:131500001-132000000,,,,,
1:132000001-132500000,,,,,
1:132500001-133000000,,,,,
1:133000001-133500000,,,,,
1:133500001-134000000,,,,,
1:134000001-134500000,,,,,
1:134500001-135000000,,,,,
1:135000001-135500000,,,,,
1:135500001-136000000,,,,,
1:136000001-136500000,,,,,
1:136500001-137000000,,,,,
1:137000001-137500000,,,,,
1:137500001-138000000,,,,,
1:138000001-138500000,,,,,
1:138500001-139000000,,,,,
1:139000001-139500000,,,,,
1:139500001-140000000,,,,,
1:140000001-140500000,,,,,
1:140500001-141000000,,,,,
1:141000001-141500000,,,,,
1:141500001-142000000,,,,,
1:142000001-142500000,,,,,
1:142500001-143000000,,,,,
1:143000001-143500000,,,,,
1:143500001-144000000,,,,,
1:144000001-144500000,,,,,
1:144500001-145000000,,,,,
1:145000001-145500000,,,,,
1:145500001-146000000,,,,,
1:146000001-146500000,,,,,
1:146500001-147000000,1.0281977818616495,1.0159005495725895,0.9528901167152295,1.057603767012882,1.0661084092439155
1:147000001-147500000,,,,,
1:147500001-148000000,,,,,
1:148000001-148500000,,,,,
1:148500001-149000000,,,,,
1:149000001-149500000,,,,,
1:149500001-150000000,,,,,
1:150000001-150500000,,,,,
1:150500001-151000000,0.9824712441770147,1.16379874243929,1.1041407882810235,1.0686501579179257,0.9979469846466769
1:151000001-151500000,1.0298411058111525,1.1031490191214233,1.0457275130374135,1.0311309098846628,1.0061284362121945
1:151500001-152000000,1.0028609544838476,1.072607800799989,1.0187547415478029,1.0139247835823009,1.0160176528337324
1:152000001-152500000,1.0421948770816618,0.9267147906246899,0.9004246174805788,1.019987926735458,1.045429897394922
1:152500001-153000000,0.9728695140181673,0.9716842677352832,0.851719767953293,0.9058509142646172,0.9512207931888225
1:153000001-153500000,0.9898762740255046,0.9958623682617204,0.9544225324475127,0.9950207743292848,1.081032854697438
1:153500001-154000000,0.9909135259284968,1.0824326002739018,1.0854652292134381,1.02989245309313,1.0585309497452842
1:154000001-154500000,0.992318764369706,1.0613681059194813,1.03466215112807,1.0203255949122498,1.0666005753019459
1:154500001-155000000,0.9634004710913364,1.0046345006181148,1.0103334601632772,1.062986582805433,1.0398402418198482
1:155000001-155500000,1.026146006850399,1.3441299100454946,1.0170822100186367,1.0239890810190353,0.9887340021465139
1:155500001-156000000,,,,,
1:156000001-156500000,,,,,
1:156500001-157000000,1.014171111699489,1.0981192610381265,1.0346125091246836,1.0663621273211428,1.042721549529318
1:157000001-157500000,,,,,
1:157500001-158000000,1.0212999321743923,0.9806531901552342,0.9519680887251487,0.9953693617561659,1.026615964734463
1:158000001-158500000,0.990157407490899,1.0136503174047624,0.9228737844678107,1.01058470897298,1.021055380711032
1:158500001-159000000,0.9640899227874182,1.1070207634570368,0.9406497102917593,1.0476121418615623,1.096799029979314
1:159000001-159500000,0.9918100596942566,1.063674431779518,0.9414716103009064,1.0408745449989092,1.0541231106282072
1:159500001-160000000,1.069512340098354,1.0802082814414504,0.9194206698989089,1.0680045815169903,1.087880874645125
1:160000001-160500000,1.0658735888606203,1.0559374768889738,1.0064802885835933,1.0610678477198947,1.0187208865854638
1:160500001-161000000,1.0694924652506854,1.060842625268931,0.9943902542525145,1.097705277653877,1.0808125697399698
1:161000001-161500000,1.0264516083220407,0.9648335146959864,0.9960136052391969,0.9638044172344302,0.9608239841721241
1:161500001-162000000,0.8966590207332026,0.8893957540872814,0.984171970833616,0.9142416302666454,0.9271055096982603
1:162000001-162500000,1.0038816777546882,1.102546099756299,1.116984212466438,1.0961596474800115,1.092413731269689
1:162500001-163000000,1.0226022095332428,1.0468272123767104,0.9592451831562967,1.026212416506856,1.0366756254130178
1:163000001-163500000,1.0352346714859448,1.0734350369040746,1.0086974036179686,0.9843293828593552,1.0568203956110722
1:163500001-164000000,1.0336776753404295,1.042009618539378,0.9799478256851066,1.0462182992034175,1.0916005264184179
1:164000001-164500000,0.983199364431606,1.0983458133575428,0.992210993434647,0.9899728673777957,1.0210927898945086
1:164500001-165000000,0.9607046619864483,1.0828889395023489,0.9558842352724681,1.0733435216436658,1.0639422700510894
1:165000001-165500000,0.9762662394323204,0.9731357441056763,0.9377658906250161,1.0092202223067148,1.0479668684596743
1:165500001-166000000,0.9916736274669931,1.1276328104121367,0.8941065199043436,1.0003112554607676,0.9785616576816432
