rownames,UP0056_CTRL,UH18_12903,UP0056_HHE2.combined,UP0056_HHE1.combined
1:15000001-15500000,1.0069678918956857,1.0021050736445916,1.0111587191082758,0.9862021191650693
1:15500001-16000000,0.941689874079878,1.0448233839524494,1.0268354028883904,1.0234596027279643
1:16000001-16500000,,,,
1:16500001-17000000,,,,
1:17000001-17500000,,,,
1:17500001-18000000,,,,
1:18000001-18500000,1.0712401867701784,1.0661775681134669,0.9466266840955424,0.9474019695235895
1:18500001-19000000,1.0121999221045195,1.0214812297591147,0.953144053075814,0.9668103129891742
1:19000001-19500000,1.0191893851697453,1.0272215539726886,1.0240323622565726,1.0030261079669005
1:19500001-20000000,0.9384555045694477,1.0586510947957708,1.0284818186208373,1.0331216324193029
1:20000001-20500000,1.1235050376829727,1.034450705034765,0.9890973865717421,1.0081062516654504
1:20500001-21000000,0.9784962088588198,1.0961886147107376,0.946333136742181,0.9285182701734386
1:21000001-21500000,1.026338966329995,1.0456577313372881,1.0277154337942969,1.0417639116857582
1:21500001-22000000,1.0096803715094658,0.9965429113833915,1.0202498664101296,0.983521264411456
1:22000001-22500000,0.9819985329282379,0.9611246024057298,1.0213513123214992,1.007323551729047
1:22500001-23000000,,,,
1:23000001-23500000,0.9522014846808882,1.0266189292505274,1.0205449219368727,0.9969093729024372
1:23500001-24000000,0.9459000140601489,1.0635253145389147,1.0215708016687581,1.0377405477918844
1:24000001-24500000,,,,
1:24500001-25000000,0.9939571252622643,1.0179599471642053,1.0293151435385577,1.0260410275041638
1:25000001-25500000,,,,
1:25500001-26000000,,,,
1:26000001-26500000,0.9946857249013912,1.0184349514364361,1.0392078429997005,1.0495312225087885
1:26500001-27000000,1.037242377164662,1.0373778318716227,1.0434556913687438,1.0438073699687274
1:27000001-27500000,1.0233004172384652,1.0737583385445395,0.996176182556982,1.0148338857587136
1:27500001-28000000,1.0061528319611974,1.0887102413809455,1.0320853663627838,1.0518105473489578
1:28000001-28500000,,,,
1:28500001-29000000,,,,
1:29000001-29500000,1.0051035534204518,1.0787810484257623,1.0383638840012273,1.0422414766859374
1:29500001-30000000,1.0220042547468011,1.0313137379148785,0.9408645084027736,0.9068907596192054
1:30000001-30500000,1.0509744352023789,0.9551748246290743,0.9650086780238333,0.9655427900691992
1:30500001-31000000,,,,
1:31000001-31500000,,,,
1:31500001-32000000,0.9870011020087,1.0476275512720992,1.017128709224468,0.9857119432541271
1:32000001-32500000,0.9988277832442287,1.0336354730996662,1.0238777095996374,0.9520861622758566
1:32500001-33000000,,,,
1:33000001-33500000,0.9589030328505092,1.0670262260942092,0.9925433316340647,1.0055983101337258
1:33500001-34000000,1.0627457602365933,1.026374670642569,1.0096738418289275,0.9967322705089566
1:34000001-34500000,1.014747343250571,0.9808895266750942,0.9737453239468906,0.9582359255048373
1:34500001-35000000,0.9751636369202622,1.0216542760268297,0.943108366374627,0.9108812861222987
1:35000001-35500000,0.985909126239125,1.0176943981162954,0.9971520671471255,0.9503544062841777
1:35500001-36000000,0.996574200525353,1.1194177343118947,1.068002114998172,1.0525874326143876
1:36000001-36500000,0.9696596494667401,1.090011049213652,1.0430315174856413,1.0192293996566328
1:36500001-37000000,1.0358133827309928,1.0434168290522927,1.0279699543073,1.023632729299726
1:37000001-37500000,,,,
1:37500001-38000000,1.0241429973441252,1.0229550501311464,0.9393682499832807,0.8989717493076517
1:38000001-38500000,,,,
1:38500001-39000000,1.0434586474112815,1.0135473795328063,0.9991325585155483,0.9836175854448305
1:39000001-39500000,,,,
1:39500001-40000000,0.9517494187070987,1.0598285639489944,1.0008226678040213,0.9759288513099614
1:40000001-40500000,1.0014365316199791,1.0362223608092294,1.005263456989056,0.9724752247152258
1:40500001-41000000,1.0996677011640397,1.0172189792162103,1.0684948549679854,1.054469395671214
1:41000001-41500000,1.1036431122008867,1.0656571395026564,1.0629749626813414,1.0321275965708374
1:41500001-42000000,0.9452983385278891,0.9981978539986942,1.0213020593174105,1.0337454218399276
1:42000001-42500000,0.9871635986049274,1.0115946048046889,1.09687391196255,1.0644379710061687
1:42500001-43000000,,,,
1:43000001-43500000,,,,
1:43500001-44000000,1.014817969347442,0.9762670229886665,0.9978326738824878,0.970663448274566
1:44000001-44500000,0.9697803875210038,1.052351324459209,0.9986922609609498,1.0119942933365538
1:44500001-45000000,1.0719722642729086,1.0647008533930886,1.0574358443577678,1.0319976489181746
1:45000001-45500000,1.0695714011606472,1.0724787831689921,1.0171023306169447,0.9712646697239935
1:45500001-46000000,0.9874776683488815,1.03257793732228,1.003575071577514,1.01418914054523
1:46000001-46500000,0.9898577401371677,1.027946333757517,1.0394965558431866,1.0549920013675143
1:46500001-47000000,,,,
1:47000001-47500000,1.0574332195866674,0.9419439912792669,0.9945305773276305,0.9885798543218278
1:47500001-48000000,1.0292602939106636,0.8813811020510963,0.9534232907434288,0.9430892935900166
1:48000001-48500000,0.9859117294851684,1.0211739829273752,0.9784090275235642,0.9642822330165166
